----------------------------------------------------------------------------------------------
MATTHEW
----------------------------------------------------------------------------------------------

CHAPTER 1
Mt 1:1	The book of the genealogy of Jesus Christ, the son of David, the son of Abraham. 
Mt 5:43	"You have heard that it was said, 'Love your neighbor' and 'Hate your enemy.'
Mt 5:44	But I say to you, love your enemies and pray for those who persecute you,
Mt 5:45	in order that you may be sons of your Father who is in heaven, because he causes his sun to rise on the evil and the good, and he sends rain on the just and the unjust.
Mt 5:46	For if you love those who love you, what reward do you have? Do not the tax collectors also do the same?
Mt 5:47	And if you greet only your brothers, what are you doing that is remarkable? Do not the Gentiles also do the same?
Mt 5:48	Therefore you be perfect as your heavenly Father is perfect. 


CHAPTER 6
Mt 6:1	"And take care not to practice your righteousness before people to be seen by them; otherwise you have no reward from your Father who is in heaven.
Mt 6:2	Therefore whenever you practice charitable giving, do not sound a trumpet in front of you, as the hypocrites do in the synagogues and in the streets, in order that they may be praised by people. Truly I say to you, they have received their reward in full!
Mt 6:3	But you, when you practice charitable giving, do not let your left hand know what your right hand is doing,
Mt 6:4	in order that your charitable giving may be in secret, and your Father who sees in secret will reward you. 

Mt 6:5	And whenever you pray, do not be like the hypocrites, because they love to stand and pray in the synagogues and on the corners of the streets, in order that they may be seen by people. Truly I say to you, they have received their reward in full!
Mt 6:6	But whenever you pray, enter into your inner room and shut your door and pray to your Father who is in secret, and your Father who sees in secret will reward you. 

Mt 6:7	"But when you pray, do not babble repetitiously like the pagans, for they think that because of their many words they will be heard.
Mt 6:8	Therefore do not be like them, for your Father knows what you need before you ask him.
Mt 6:9	Therefore you pray in this way: 
 "Our Father who is in heaven, may your name be treated as holy.
Mt 6:10	May your kingdom come, may your will be done on earth as it is in heaven.
Mt 6:11	Give us today our daily bread,
Mt 6:12	and forgive us our debts, as we also have forgiven our debtors.
Mt 6:13	And do not bring us into temptation, but deliver us from the evil one.

Mt 6:14	For if you forgive people their sins, your heavenly Father will also forgive you.
Mt 6:15	But if you do not forgive people, neither will your Father forgive your sins. 

Mt 6:16	"Whenever you fast, do not be sullen like the hypocrites, for they make their faces unrecognizable in order that they may be seen fasting by people. Truly I say to you, they have received their reward in full!
Mt 6:17	But when you are fasting, put olive oil on your head and wash your face
Mt 6:18	so that you will not be seen by people as fasting, but to your Father who is in secret, and your Father who sees in secret will reward you. 

Mt 6:19	"Do not store up for yourselves treasures on earth, where moth and consuming insect destroy and where thieves break in and steal,
Mt 6:20	but store up for yourselves treasures in heaven, where neither moth nor consuming insect destroy and where thieves do not break in or steal.
Mt 6:21	For where your treasure is, there your heart will be also. 

Mt 6:22	"The eye is the lamp of the body. Therefore if your eye is sincere, your whole body will be full of light.
Mt 6:23	But if your eye is evil, your whole body will be dark. Therefore if the light in you is darkness, how great is the darkness! 

Mt 6:24	"No one is able to serve two masters. For either he will hate the one and love the other, or he will be devoted to one and despise the other. You are not able to serve God and money. 

Mt 6:25	"For this reason I say to you, do not be anxious for your life, what you will eat, and not for your body, what you will wear. Is your life not more than food and your body more than clothing?
Mt 6:26	Consider the birds of the sky, that they do not sow or reap or gather produce into barns, and your heavenly Father feeds them. Are you not worth more than they are?
Mt 6:27	And who among you, by being anxious, is able to add one hour to his life span?
Mt 6:28	And why are you anxious about clothing? Observe the lilies of the field, how they grow: they do not toil or spin,
Mt 6:29	but I say to you that not even Solomon in all his glory was dressed like one of these.
Mt 6:30	But if God dresses the grass of the field in this way, although it is here today and tomorrow is thrown into the oven, will he not do so much more for you, you of little faith?
Mt 6:31	Therefore do not be anxious, saying, 'What will we eat?' or 'What will we drink?' or 'What will we wear?,'
Mt 6:32	for the pagans seek after all these things. For your heavenly Father knows that you need all these things.
Mt 6:33	But seek first his kingdom and righteousness, and all these things will be added to you.
Mt 6:34	Therefore do not be anxious for tomorrow, because tomorrow will be anxious for itself. Each day has enough trouble of its own. 


CHAPTER 7
Mt 7:1	"Do not judge, so that you will not be judged.
Mt 7:2	For by what judgment you judge, you will be judged, and by what measure you measure out, it will be measured out to you.
Mt 7:3	And why do you see the speck that is in your brother's eye, but do not notice the beam of wood in your own eye?
Mt 7:4	Or how will you say to your brother, 'Allow me to remove the speck from your eye,' and behold, the beam of wood is in your own eye?
Mt 7:5	Hypocrite! First remove the beam of wood from your own eye and then you will see clearly to remove the speck from your brother's eye! 

Mt 7:6	"Do not give what is holy to dogs, or throw your pearls in front of pigs, lest they trample them with their feet, and turn around and tear you to pieces. 

Mt 7:7	"Ask and it will be given to you; seek and you will find; knock and it will be opened for you.
Mt 7:8	For everyone who asks receives, and the one who seeks finds, and to the one who knocks it will be opened.
Mt 7:9	Or what man is there among you, if his son will ask him for bread, will give him a stone?
Mt 7:10	Or also if he will ask for a fish, will give him a snake?
Mt 7:11	Therefore if you, although you are evil, know how to give good gifts to your children, how much more will your Father who is in heaven give good things to those who ask him?
Mt 7:12	Therefore in all things, whatever you want that people should do to you, thus also you do to them. For this is the law and the prophets. 

Mt 7:13	"Enter through the narrow gate, because broad is the gate and spacious is the road that leads to destruction, and there are many who enter through it,
Mt 7:14	because narrow is the gate and constricted is the road that leads to life, and there are few who find it! 

Mt 7:15	"Beware of false prophets who come to you in sheep's clothing, but inside are ravenous wolves.
Mt 7:16	You will recognize them by their fruits: they do not gather grapes from thorn bushes or figs from thistles, do they?
Mt 7:17	In the same way, every good tree produces good fruit, but a bad tree produces bad fruit.
Mt 7:18	A good tree is not able to produce bad fruit, nor a bad tree to produce good fruit.
Mt 7:19	Every tree that does not produce good fruit is cut down and thrown into the fire.
Mt 7:20	As a result, you will recognize them by their fruits. 

Mt 7:21	"Not everyone who says to me, 'Lord, Lord,' will enter into the kingdom of heaven, but the one who does the will of my Father who is in heaven.
Mt 7:22	On that day many will say to me, 'Lord, Lord, did we not prophesy in your name, and expel demons in your name, and perform many miracles in your name?'
Mt 7:23	And then I will say to them plainly, 'I never knew you. Depart from me, you who practice lawlessness!' 

Mt 7:24	"Therefore everyone who hears these words of mine and does them will be like a wise man who built his house on the rock.
Mt 7:25	And the rain came down and the rivers came and the winds blew and beat against that house, and it did not collapse, because its foundation was laid on the rock.
Mt 7:26	And everyone who hears these words of mine and does not do them will be like a foolish man who built his house on the sand.
Mt 7:27	And the rain came down and the rivers came and the winds blew and beat against that house, and it collapsed, and its fall was great." 

Mt 7:28	And it happened when Jesus finished these words the crowds were amazed at his teaching,
Mt 7:29	because he was teaching them like one who had authority, and not like their scribes. 


CHAPTER 8
Mt 8:1	And when he came down from the mountain, large crowds followed him.
Mt 8:2	And behold, a leper approached and worshiped him, saying, "Lord, if you are willing, you are able to make me clean."
Mt 8:3	And extending his hand he touched him, saying, "I am willing, be clean." And immediately his leprosy was cleansed.
Mt 8:4	And Jesus said to him, "See that you tell no one, but go, show yourself to the priest and offer the gift that Moses commanded, for a testimony to them." 

Mt 8:5	Now when he entered Capernaum, a centurion approached him, appealing to him
Mt 8:6	and saying, "Lord, my slave is lying paralyzed in my house, terribly tormented!"
Mt 8:7	And he said to him, "I will come and heal him."
Mt 8:8	And the centurion answered and said, "Lord, I am not worthy that you should come in under my roof. But only say the word and my slave will be healed.
Mt 8:9	For I also am a man under authority who has soldiers under me, and I say to this one, 'Go!' and he goes, and to another one, 'Come!' and he comes, and to my slave, 'Do this!' and he does it." 

Mt 8:10	Now when Jesus heard this, he was astonished, and said to those who were following him, "Truly I say to you, I have found such great faith with no one in Israel.
Mt 8:11	But I say to you that many will come from east and west and be seated at the banquet with Abraham and Isaac and Jacob in the kingdom of heaven.
Mt 8:12	But the sons of the kingdom will be thrown out into the outer darkness. In that place there will be weeping and gnashing of teeth!"
Mt 8:13	And Jesus said to the centurion, "Go, as you have believed it will be done for you." And the slave was healed at that hour. 

Mt 8:14	And when Jesus came into Peter's house, he saw his mother-in-law lying down and suffering with a fever.
Mt 8:15	And he touched her hand and the fever left her, and she got up and began to serve him. 

Mt 8:16	Now when it was evening, they brought to him many who were demon-possessed, and he expelled the spirits with a word. And he healed all those who were sick,
Mt 8:17	in order that what was spoken through the prophet Isaiah would be fulfilled, who said, 
 "He himself took away our sicknesses, and carried away our diseases."

Mt 8:18	Now when Jesus saw many crowds around him, he gave orders to depart to the other side.
Mt 8:19	And a scribe approached and said to him, "Teacher, I will follow you wherever you go!"
Mt 8:20	And Jesus said to him, "Foxes have dens and birds of the sky have nests, but the Son of Man has no place to lay his head."
Mt 8:21	And another of the disciples said to him, "Lord, allow me first to go and bury my father."
Mt 8:22	But Jesus said to him, "Follow me, and leave the dead to bury their own dead!" 

Mt 8:23	And as he got into the boat, his disciples followed him.
Mt 8:24	And behold, a great storm arose on the sea, so that the boat was being inundated by the waves, but he himself was asleep.
Mt 8:25	And they came and woke him, saying, "Lord, save us! We are perishing!"
Mt 8:26	And he said to them, "Why are you fearful, you of little faith?" Then he got up and rebuked the winds and the sea and there was a great calm.
Mt 8:27	And the men were astonished, saying, "What sort of man is this, that even the winds and the sea obey him?" 

Mt 8:28	And when he came to the other side, to the region of the Gadarenes, two demon-possessed men coming from among the tombs met him, very violent, so that no one was able to pass by along that road.
Mt 8:29	And behold, they cried out, saying, "What do you have to do with us, Son of God? Have you come here to torment us before the time?"
Mt 8:30	Now a long way from them a large herd of pigs was feeding.
Mt 8:31	So the demons implored him, saying, "If you are going to expel us, send us into the herd of pigs."
Mt 8:32	And he said to them, "Go!" So they departed and went into the pigs, and behold, the whole herd rushed headlong down the steep slope into the sea and drowned in the water.
Mt 8:33	Now the herdsmen fled and went into the town and reported everything, including the things concerning the demon-possessed men.
Mt 8:34	And behold, the whole town came out to meet Jesus, and when they saw him, they implored him that he would depart from their region. 


CHAPTER 9
Mt 9:1	And getting into a boat, he crossed over and came to his own town.
Mt 9:2	And behold, they brought to him a paralytic lying on a stretcher, and when Jesus saw their faith, he said to the paralytic, "Have courage, child, your sins are forgiven."
Mt 9:3	And behold, some of the scribes said to themselves, "This man is blaspheming!"
Mt 9:4	And knowing their thoughts, Jesus said, "Why do you think evil in your hearts?
Mt 9:5	For which is easier to say, 'Your sins are forgiven,' or to say, 'Get up and walk'?
Mt 9:6	But in order that you may know that the Son of Man has authority on earth to forgive sins," then he said to the paralytic, "Get up, pick up your stretcher and go to your home."
Mt 9:7	And he got up and went to his home.
Mt 9:8	But when the crowds saw this, they were afraid and glorified God who had given such authority to men. 

Mt 9:9	And as Jesus was going away from there, he saw a man called Matthew sitting at the tax booth and said to him, "Follow me!" And he stood up and followed him. 

Mt 9:10	And it happened as he was dining in the house, behold, many tax collectors and sinners were coming and dining with Jesus and his disciples.
Mt 9:11	And when they saw it, the Pharisees began to say to his disciples, "Why does your teacher eat with tax collectors and sinners?"
Mt 9:12	And when he heard it, he said, "Those who are healthy do not have need of a physician, but those who are sick.
Mt 9:13	But go and learn what it means, "I want mercy and not sacrifice." For I did not come to call the righteous, but sinners." 

Mt 9:14	Then the disciples of John approached him, saying, "Why do we and the Pharisees fast often, but your disciples do not fast?"
Mt 9:15	And Jesus said to them, "The bridegroom's attendants are not able to mourn as long as the bridegroom is with them. But days are coming when the bridegroom is taken away from them, and then they will fast.
Mt 9:16	But no one puts a patch of unshrunken cloth on an old garment, for its patch pulls away from the garment, and the tear becomes worse.
Mt 9:17	Nor do they put new wine into old wineskins. Otherwise the wineskins burst and the wine is spilled, and the wineskins are destroyed. But they put new wine into new wineskins and both are preserved." 

Mt 9:18	As he was saying these things to them, behold, one of the rulers came and knelt down before him, saying, "My daughter has just now died, but come, place your hand on her and she will live!"
Mt 9:19	And Jesus and his disciples got up and followed him.
Mt 9:20	And behold, a woman who had been suffering with a hemorrhage twelve years approached from behind and touched the edge of his cloak,
Mt 9:21	for she said to herself, "If only I touch his cloak I will be healed."
Mt 9:22	But Jesus, turning around and seeing her, said, "Have courage, daughter! Your faith has healed you." And the woman was healed from that hour. 

Mt 9:23	And when Jesus came into the ruler's house and saw the flute players and the disorderly crowd,
Mt 9:24	he said, "Go away, because the girl is not dead, but is sleeping." And they ridiculed him.
Mt 9:25	But when the crowd had been sent out, he entered and took her hand, and the girl got up.
Mt 9:26	And this report went out into that whole region. 

Mt 9:27	And as Jesus was going away from there, two blind men followed him, crying out and saying, "Have mercy on us, Son of David!"
Mt 9:28	And when he came into the house, the blind men approached him, and Jesus said to them, "Do you believe that I am able to do this?" They said to him, "Yes, Lord."
Mt 9:29	Then he touched their eyes, saying, "According to your faith let it be done for you."
Mt 9:30	And their eyes were opened, and Jesus sternly warned them, saying, "See that no one finds out."
Mt 9:31	But they went out and spread the report about him in that whole region. 

Mt 9:32	Now as they were going away, behold, they brought to him a demon-possessed man who was unable to speak.
Mt 9:33	And after the demon had been expelled, the one who had been mute spoke, and the crowds were astonished, saying, "This has never been seen before in Israel!"
Mt 9:34	But the Pharisees were saying, "By the ruler of demons he expels the demons!" 

Mt 9:35	And Jesus was going around all the towns and the villages, teaching in their synagogues and proclaiming the good news of the kingdom and healing every disease and every sickness.
Mt 9:36	And when he saw the crowds, he had compassion for them, because they were weary and dejected, like sheep that did not have a shepherd.
Mt 9:37	Then he said to his disciples, "The harvest is plentiful, but the workers are few.
Mt 9:38	Therefore ask the Lord of the harvest that he send out workers into his harvest." 


CHAPTER 10
Mt 10:1	And summoning his twelve disciples, he gave them authority over unclean spirits, so that they could expel them and could heal every disease and every sickness.
Mt 10:2	Now these are the names of the twelve apostles: first Simon who is called Peter, and Andrew his brother, James the son of Zebedee, and John his brother,
Mt 10:3	Philip, and Bartholomew, Thomas, and Matthew the tax collector, James the son of Alphaeus, and Thaddaeus,
Mt 10:4	Simon the Zealot, and Judas Iscariot--the one who also betrayed him. 

Mt 10:5	Jesus sent out these twelve, instructing them saying, "Do not go on the road to the Gentiles, and do not enter into a city of the Samaritans,
Mt 10:6	but go instead to the lost sheep of the house of Israel.
Mt 10:7	And as you are going, preach, saying, 'The kingdom of heaven has come near!'
Mt 10:8	Heal those who are sick, raise the dead, cleanse lepers, expel demons. Freely you have received; freely give.
Mt 10:9	Do not procure gold or silver or copper for your belts.
Mt 10:10	Do not take a traveler's bag for the road, or two tunics, or sandals, or a staff, for the worker is deserving of his provisions.
Mt 10:11	And into whatever town or village you enter, inquire who in it is worthy, and stay there until you depart.
Mt 10:12	And when you enter into the house, greet it.
Mt 10:13	And if the house is worthy, let your peace come upon it, but if it is not worthy, let your peace return to you.
Mt 10:14	And whoever does not welcome you or listen to your words, shake off the dust from your feet as you are going out of that house or that town.
Mt 10:15	Truly I say to you, it will be more bearable for the region of Sodom and Gomorrah on the day of judgment than for that town! 

